approach,acc_mean,acc_std,f1_mean,f1_std,n_features
Hazard-Inclusive (T=tornado_EF),0.8343563512361467,0.016908188680399873,0.5066432303869991,0.05544381107305889,34
No Explicit T (removed),0.7530690537084398,0.03579435945000298,0.35092245193605043,0.055456250246590455,33
Constant T=1.0,0.7588235294117647,0.018518225380917932,0.4387309288877467,0.03057240265936971,34
Constant T=0.5,0.784995737425405,0.024109146026026405,0.4403839592426463,0.03693926891329404,34
