Feature,Importance
wall_substrate_u_not_applicable,0.21337209302325583
wall_substrate_u_masonry,0.18895348837209303
roof_shape_u_gable,0.1668604651162791
roof_shape_u_hip,0.10000000000000002
wall_thickness,0.0854651162790698
roof_slope_u,0.08081395348837213
retrofit_present_u_no,0.07906976744186049
number_stories,0.07790697674418608
roof_shape_u_complex,0.07674418604651165
wall_length_front,0.07325581395348839
retrofit_present_u_yes,0.07209302325581397
wall_fenesteration_per_front,0.07209302325581397
parapet_height_m,0.06337209302325582
retrofit_present_u_un,0.04883720930232558
roof_shape_u_flat,0.04767441860465118
roof_shape_u_gable-hip_combo,0.04476744186046515
wall_substrate_u_wooden_un,0.03488372093023258
year_built_u,0.03313953488372099
wall_length_side,0.030813953488372146
wall_substrate_u_stone,0.009302325581395366
roof_shape_u_mansard,0.008139534883720944
wall_substrate_u_concrete,0.004651162790697683
wall_substrate_u_brick,0.004651162790697683
roof_shape_u_gable-saltbox_combo,0.004651162790697683
wall_substrate_u_un,0.004069767441860472
wall_substrate_u_wooden_panels,0.0029069767441860517
roof_shape_u_dormer-gambrel_combo,0.0029069767441860517
wall_substrate_u_cmu,0.0
roof_shape_u_nan,0.0
wall_substrate_u_nan,0.0
retrofit_present_u_nan,0.0
wall_substrate_u_wooden_plank,-0.0005813953488372104
roof_shape_u_gambrel,-0.0005813953488372104
