Setting,Model,Fold,MacroF1,Accuracy
Hazard-Neutral,DecisionTree,0,0.41659179395028456,0.6266666666666667
Hazard-Neutral,DecisionTree,1,0.4472723685508533,0.7066666666666667
Hazard-Neutral,DecisionTree,2,0.553831417624521,0.7466666666666667
Hazard-Neutral,DecisionTree,3,0.46913580246913583,0.7866666666666666
Hazard-Neutral,DecisionTree,4,0.5272303750291172,0.6891891891891891
Hazard-Neutral,DecisionTree,5,0.5273585273585274,0.7333333333333333
Hazard-Neutral,DecisionTree,6,0.4632034632034632,0.7066666666666667
Hazard-Neutral,DecisionTree,7,0.4755735492577598,0.72
Hazard-Neutral,DecisionTree,8,0.6242474001094691,0.8266666666666667
Hazard-Neutral,DecisionTree,9,0.4294871794871795,0.7567567567567568
Hazard-Neutral,DecisionTree,10,0.5790771281026154,0.7733333333333333
Hazard-Neutral,DecisionTree,11,0.4677274677274677,0.68
Hazard-Neutral,DecisionTree,12,0.3666245259165613,0.6666666666666666
Hazard-Neutral,DecisionTree,13,0.553092858177604,0.7733333333333333
Hazard-Neutral,DecisionTree,14,0.5488079172289698,0.8108108108108109
Hazard-Neutral,DecisionTree,15,0.5,0.6933333333333334
Hazard-Neutral,DecisionTree,16,0.5289052069425901,0.72
Hazard-Neutral,DecisionTree,17,0.45331720104859846,0.76
Hazard-Neutral,DecisionTree,18,0.478743961352657,0.72
Hazard-Neutral,DecisionTree,19,0.4043756145526057,0.6756756756756757
Hazard-Neutral,DecisionTree,20,0.634326167659501,0.7866666666666666
Hazard-Neutral,DecisionTree,21,0.5595355152877276,0.7866666666666666
Hazard-Neutral,DecisionTree,22,0.36313131313131314,0.6933333333333334
Hazard-Neutral,DecisionTree,23,0.4921652421652422,0.7333333333333333
Hazard-Neutral,DecisionTree,24,0.42884990253411304,0.7297297297297297
Hazard-Neutral,RandomForest,0,0.48179271708683474,0.7733333333333333
Hazard-Neutral,RandomForest,1,0.5438512105178771,0.76
Hazard-Neutral,RandomForest,2,0.6136004857316333,0.8133333333333334
Hazard-Neutral,RandomForest,3,0.5028985507246376,0.8133333333333334
Hazard-Neutral,RandomForest,4,0.665266106442577,0.8513513513513513
Hazard-Neutral,RandomForest,5,0.6155172413793103,0.8266666666666667
Hazard-Neutral,RandomForest,6,0.597953216374269,0.8
Hazard-Neutral,RandomForest,7,0.6426666666666666,0.8666666666666667
Hazard-Neutral,RandomForest,8,0.6489285271893968,0.8133333333333334
Hazard-Neutral,RandomForest,9,0.3613369467028004,0.7432432432432432
Hazard-Neutral,RandomForest,10,0.6515351139857068,0.8666666666666667
Hazard-Neutral,RandomForest,11,0.6672131147540984,0.84
Hazard-Neutral,RandomForest,12,0.4182336182336182,0.7333333333333333
Hazard-Neutral,RandomForest,13,0.598136645962733,0.8266666666666667
Hazard-Neutral,RandomForest,14,0.4975206611570248,0.8108108108108109
Hazard-Neutral,RandomForest,15,0.6511784511784512,0.84
Hazard-Neutral,RandomForest,16,0.5748544531153227,0.8
Hazard-Neutral,RandomForest,17,0.5333333333333333,0.8533333333333334
Hazard-Neutral,RandomForest,18,0.5074718125565583,0.76
Hazard-Neutral,RandomForest,19,0.538401559454191,0.7837837837837838
Hazard-Neutral,RandomForest,20,0.7157088122605364,0.8666666666666667
Hazard-Neutral,RandomForest,21,0.569151138716356,0.8133333333333334
Hazard-Neutral,RandomForest,22,0.5600077429345722,0.8133333333333334
Hazard-Neutral,RandomForest,23,0.554040404040404,0.7866666666666666
Hazard-Neutral,RandomForest,24,0.5824915824915825,0.8108108108108109
Hazard-Neutral,LogisticRegression,0,0.49104395604395606,0.72
Hazard-Neutral,LogisticRegression,1,0.46851984982826106,0.6666666666666666
Hazard-Neutral,LogisticRegression,2,0.4466630321203035,0.6933333333333334
Hazard-Neutral,LogisticRegression,3,0.5730851011224843,0.7466666666666667
Hazard-Neutral,LogisticRegression,4,0.5255731922398589,0.7027027027027027
Hazard-Neutral,LogisticRegression,5,0.6216216216216216,0.7866666666666666
Hazard-Neutral,LogisticRegression,6,0.5223773720014321,0.6533333333333333
Hazard-Neutral,LogisticRegression,7,0.5380262249827467,0.7466666666666667
Hazard-Neutral,LogisticRegression,8,0.49989989989989986,0.7066666666666667
Hazard-Neutral,LogisticRegression,9,0.3718568066394153,0.7162162162162162
Hazard-Neutral,LogisticRegression,10,0.5720720720720721,0.7866666666666666
Hazard-Neutral,LogisticRegression,11,0.41007532956685505,0.7066666666666667
Hazard-Neutral,LogisticRegression,12,0.42582582582582584,0.6933333333333334
Hazard-Neutral,LogisticRegression,13,0.47191697191697185,0.6533333333333333
Hazard-Neutral,LogisticRegression,14,0.5679012345679012,0.7567567567567568
Hazard-Neutral,LogisticRegression,15,0.5172413793103449,0.72
Hazard-Neutral,LogisticRegression,16,0.6038647342995169,0.7866666666666666
Hazard-Neutral,LogisticRegression,17,0.5916666666666667,0.7733333333333333
Hazard-Neutral,LogisticRegression,18,0.49266247379454925,0.6933333333333334
Hazard-Neutral,LogisticRegression,19,0.48472248472248475,0.7027027027027027
Hazard-Neutral,LogisticRegression,20,0.5692789968652038,0.76
Hazard-Neutral,LogisticRegression,21,0.5662346488034561,0.72
Hazard-Neutral,LogisticRegression,22,0.44477861319966583,0.72
Hazard-Neutral,LogisticRegression,23,0.5582441157662397,0.7466666666666667
Hazard-Neutral,LogisticRegression,24,0.5573192239858906,0.7702702702702703
Hazard-Neutral,RidgeClassifier,0,0.5571450600808987,0.6933333333333334
Hazard-Neutral,RidgeClassifier,1,0.4948093977220191,0.68
Hazard-Neutral,RidgeClassifier,2,0.4524725274725275,0.68
Hazard-Neutral,RidgeClassifier,3,0.5261487050960735,0.7066666666666667
Hazard-Neutral,RidgeClassifier,4,0.4880066170388751,0.6486486486486487
Hazard-Neutral,RidgeClassifier,5,0.6296134491853147,0.7866666666666666
Hazard-Neutral,RidgeClassifier,6,0.5375678159183314,0.6666666666666666
Hazard-Neutral,RidgeClassifier,7,0.5026115859449193,0.68
Hazard-Neutral,RidgeClassifier,8,0.4841049382716049,0.6933333333333334
Hazard-Neutral,RidgeClassifier,9,0.4899514899514899,0.7027027027027027
Hazard-Neutral,RidgeClassifier,10,0.5931313131313131,0.7733333333333333
Hazard-Neutral,RidgeClassifier,11,0.4298245614035088,0.68
Hazard-Neutral,RidgeClassifier,12,0.3924501424501425,0.64
Hazard-Neutral,RidgeClassifier,13,0.49615384615384617,0.68
Hazard-Neutral,RidgeClassifier,14,0.5771428571428571,0.7297297297297297
Hazard-Neutral,RidgeClassifier,15,0.5146723646723647,0.6933333333333334
Hazard-Neutral,RidgeClassifier,16,0.5488095238095237,0.7733333333333333
Hazard-Neutral,RidgeClassifier,17,0.6380364863439839,0.7733333333333333
Hazard-Neutral,RidgeClassifier,18,0.4245564892623716,0.6
Hazard-Neutral,RidgeClassifier,19,0.4350834350834351,0.6486486486486487
Hazard-Neutral,RidgeClassifier,20,0.6616504854368932,0.7733333333333333
Hazard-Neutral,RidgeClassifier,21,0.5214133178023684,0.64
Hazard-Neutral,RidgeClassifier,22,0.4694749694749694,0.72
Hazard-Neutral,RidgeClassifier,23,0.4432766099432766,0.6666666666666666
