Setting,Metric,XGBoost_Mean,ZENN_Mean,Diff,p_value,Equivalent
Hazard-Inclusive,Accuracy,0.8721653878942881,0.8314151747655585,0.0407502131287297,0.0678891548618289,True
Hazard-Inclusive,Macro F1,0.54538672359619,0.5146915695946211,0.0306951540015689,0.625,True
Hazard-Neutral,Accuracy,0.8315004262574595,0.802387041773231,0.0291133844842285,0.125,True
Hazard-Neutral,Macro F1,0.4566174254422591,0.437812257785496,0.0188051676567631,1.0,True
