Setting,Metric,XGBoost_Mean,ZENN_Mean,Diff,p_value,Equivalent
Hazard-Inclusive,Accuracy,0.8721653878942881,0.8314151747655585,0.04075021312872975,0.06788915486182899,True
Hazard-Inclusive,Macro F1,0.54538672359619,0.5146915695946211,0.03069515400156898,0.625,True
Hazard-Neutral,Accuracy,0.8315004262574595,0.802387041773231,0.02911338448422851,0.125,True
Hazard-Neutral,Macro F1,0.45661742544225914,0.437812257785496,0.018805167656763155,1.0,True
